Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
10.0,2018-11-21,call,VIX181121C00010000,5.93,5.5,5.7,0.23000002,4.035088,21.0,1250.0,1.78515732421875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 17:34:50,"{'percentChange': 4.035088, 'contractSize': 'REGULAR', 'lastPrice': 5.93, 'contractSymbol': 'VIX181121C00010000', 'volume': 21, 'expiration': 1542758400, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 1.78515732421875, 'currency': 'USD', 'bid': 5.5, 'openInterest': 1250, 'lastTradeDate': 1535736890, 'change': 0.23000002, 'ask': 5.7}"
10.0,2018-11-21,put,VIX181121P00010000,0.05,0.0,0.05,0.020000001,66.66667,6.0,34643.0,0.38672488281249995,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 15:14:24,"{'percentChange': 66.66667, 'contractSize': 'REGULAR', 'lastPrice': 0.05, 'contractSymbol': 'VIX181121P00010000', 'volume': 6, 'expiration': 1542758400, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.38672488281249995, 'currency': 'USD', 'bid': 0.0, 'openInterest': 34643, 'lastTradeDate': 1536074064, 'change': 0.020000001, 'ask': 0.05}"
10.0,2018-12-19,call,VIX181219C00010000,6.0,5.8,6.0,-0.03000021,-0.49751592,1.0,1831.0,1.673829755859375,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 13:56:15,"{'percentChange': -0.49751592, 'contractSize': 'REGULAR', 'lastPrice': 6.0, 'contractSymbol': 'VIX181219C00010000', 'volume': 1, 'expiration': 1545177600, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 1.673829755859375, 'currency': 'USD', 'bid': 5.8, 'openInterest': 1831, 'lastTradeDate': 1536069375, 'change': -0.03000021, 'ask': 6.0}"
10.0,2018-12-19,put,VIX181219P00010000,0.02,0.0,0.05,0.0,0.0,45.0,2416.0,0.3320379296875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-30 19:23:59,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX181219P00010000', 'volume': 45, 'expiration': 1545177600, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.3320379296875, 'currency': 'USD', 'bid': 0.0, 'openInterest': 2416, 'lastTradeDate': 1535657039, 'change': 0.0, 'ask': 0.05}"
10.0,2019-01-16,call,VIX190116C00010000,6.4,6.2,6.4,0.010000229,0.1564981,3.0,408.0,1.6582048339843751,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 13:39:45,"{'percentChange': 0.1564981, 'contractSize': 'REGULAR', 'lastPrice': 6.4, 'contractSymbol': 'VIX190116C00010000', 'volume': 3, 'expiration': 1547596800, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 1.6582048339843751, 'currency': 'USD', 'bid': 6.2, 'openInterest': 408, 'lastTradeDate': 1536068385, 'change': 0.010000229, 'ask': 6.4}"
10.0,2019-01-16,put,VIX190116P00010000,0.05,0.0,0.1,0.0,0.0,1.0,4.0,0.34766277343749996,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-07-30 17:05:54,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.05, 'contractSymbol': 'VIX190116P00010000', 'volume': 1, 'expiration': 1547596800, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.34766277343749996, 'currency': 'USD', 'bid': 0.0, 'openInterest': 4, 'lastTradeDate': 1532970354, 'change': 0.0, 'ask': 0.1}"
10.0,2019-02-13,call,VIX190213C00010000,6.4,6.4,6.6,-0.099999905,-1.53846,17.0,86.0,1.5859395703124997,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 17:12:06,"{'percentChange': -1.53846, 'contractSize': 'REGULAR', 'lastPrice': 6.4, 'contractSymbol': 'VIX190213C00010000', 'volume': 17, 'expiration': 1550016000, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 1.5859395703124997, 'currency': 'USD', 'bid': 6.4, 'openInterest': 86, 'lastTradeDate': 1536081126, 'change': -0.099999905, 'ask': 6.6}"
10.0,2019-02-13,put,VIX190213P00010000,0.04,0.0,0.05,0.0,0.0,5.0,5.0,0.2695385546875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-01 03:48:47,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.04, 'contractSymbol': 'VIX190213P00010000', 'volume': 5, 'expiration': 1550016000, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.2695385546875, 'currency': 'USD', 'bid': 0.0, 'openInterest': 5, 'lastTradeDate': 1535773727, 'change': 0.0, 'ask': 0.05}"
10.5,2018-09-05,call,VIX180905C00010500,2.85,2.5,4.2,0.06999993,2.5179834,1.0,7.0,4.5312543359375,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 13:36:15,"{'percentChange': 2.5179834, 'contractSize': 'REGULAR', 'lastPrice': 2.85, 'contractSymbol': 'VIX180905C00010500', 'volume': 1, 'expiration': 1536105600, 'strike': 10.5, 'inTheMoney': True, 'impliedVolatility': 4.5312543359375, 'currency': 'USD', 'bid': 2.5, 'openInterest': 7, 'lastTradeDate': 1536068175, 'change': 0.06999993, 'ask': 4.2}"
10.5,2018-09-05,put,VIX180905P00010500,0.02,0.0,0.05,0.0,0.0,10.0,45.0,1.8125009374999999,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-30 18:44:11,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX180905P00010500', 'volume': 10, 'expiration': 1536105600, 'strike': 10.5, 'inTheMoney': False, 'impliedVolatility': 1.8125009374999999, 'currency': 'USD', 'bid': 0.0, 'openInterest': 45, 'lastTradeDate': 1535654651, 'change': 0.0, 'ask': 0.05}"
