Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
211.0,2018-10-19,call,SPY181019C00211000,75.72,76.78,77.12,0.0,0.0,288.0,288.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-25 03:57:41,"{'inTheMoney': True, 'currency': 'USD', 'volume': 288, 'openInterest': 288, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 211.0, 'change': 0.0, 'contractSymbol': 'SPY181019C00211000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535169461, 'bid': 76.78, 'ask': 77.12, 'lastPrice': 75.72, 'expiration': 1539907200, 'percentChange': 0.0}"
211.0,2018-10-19,put,SPY181019P00211000,0.33,0.2,0.21,0.0,0.0,6.0,6.0,0.41992767578125,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-18 03:56:08,"{'inTheMoney': False, 'currency': 'USD', 'volume': 6, 'openInterest': 6, 'impliedVolatility': 0.41992767578125, 'strike': 211.0, 'change': 0.0, 'contractSymbol': 'SPY181019P00211000', 'contractSize': 'REGULAR', 'lastTradeDate': 1534564568, 'bid': 0.2, 'ask': 0.21, 'lastPrice': 0.33, 'expiration': 1539907200, 'percentChange': 0.0}"
211.0,2018-11-16,put,SPY181116P00211000,0.26,0.0,0.0,0.0,0.0,5.0,279.0,0.12500875,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-09-04 13:30:01,"{'inTheMoney': False, 'currency': 'USD', 'volume': 5, 'openInterest': 279, 'impliedVolatility': 0.12500875, 'strike': 211.0, 'change': 0.0, 'contractSymbol': 'SPY181116P00211000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536067801, 'bid': 0.0, 'ask': 0.0, 'lastPrice': 0.26, 'expiration': 1542326400, 'percentChange': 0.0}"
211.0,2018-12-31,call,SPY181231C00211000,57.03,68.22,71.46,57.03,100.0,26.0,26.0,1.0000000000000003e-05,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-04-14 03:54:30,"{'inTheMoney': True, 'currency': 'USD', 'volume': 26, 'openInterest': 26, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 211.0, 'change': 57.03, 'contractSymbol': 'SPY181231C00211000', 'contractSize': 'REGULAR', 'lastTradeDate': 1523678070, 'bid': 68.22, 'ask': 71.46, 'lastPrice': 57.03, 'expiration': 1546214400, 'percentChange': 100.0}"
211.0,2018-12-31,put,SPY181231P00211000,1.33,0.86,0.9,1.33,100.0,20.0,51.0,0.3314275842285156,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-06-21 19:20:10,"{'inTheMoney': False, 'currency': 'USD', 'volume': 20, 'openInterest': 51, 'impliedVolatility': 0.3314275842285156, 'strike': 211.0, 'change': 1.33, 'contractSymbol': 'SPY181231P00211000', 'contractSize': 'REGULAR', 'lastTradeDate': 1529608810, 'bid': 0.86, 'ask': 0.9, 'lastPrice': 1.33, 'expiration': 1546214400, 'percentChange': 100.0}"
212.0,2018-09-21,call,SPY180921C00212000,78.25,78.81,79.07,0.0,0.0,24.0,1163.0,0.9750979052734375,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-08-28 18:24:58,"{'inTheMoney': True, 'currency': 'USD', 'volume': 24, 'openInterest': 1163, 'impliedVolatility': 0.9750979052734375, 'strike': 212.0, 'change': 0.0, 'contractSymbol': 'SPY180921C00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535480698, 'bid': 78.81, 'ask': 79.07, 'lastPrice': 78.25, 'expiration': 1537488000, 'percentChange': 0.0}"
212.0,2018-09-21,put,SPY180921P00212000,0.04,0.04,0.05,-0.010000002,-20.000004,10.0,18153.0,0.5566450585937501,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-08-24 14:05:25,"{'inTheMoney': False, 'currency': 'USD', 'volume': 10, 'openInterest': 18153, 'impliedVolatility': 0.5566450585937501, 'strike': 212.0, 'change': -0.010000002, 'contractSymbol': 'SPY180921P00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535119525, 'bid': 0.04, 'ask': 0.05, 'lastPrice': 0.04, 'expiration': 1537488000, 'percentChange': -20.000004}"
212.0,2018-09-28,call,SPY180928C00212000,62.76,67.9,68.15,62.76,100.0,140.0,395.0,1.0000000000000003e-05,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-05-22 14:01:19,"{'inTheMoney': True, 'currency': 'USD', 'volume': 140, 'openInterest': 395, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 212.0, 'change': 62.76, 'contractSymbol': 'SPY180928C00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1526997679, 'bid': 67.9, 'ask': 68.15, 'lastPrice': 62.76, 'expiration': 1538092800, 'percentChange': 100.0}"
212.0,2018-09-28,put,SPY180928P00212000,0.8,0.25,0.27,0.8,100.0,1.0,184.0,0.585941640625,SPY,False,SPY,289.34,2018-09-05 13:40:37,2018-05-23 14:10:19,"{'inTheMoney': False, 'currency': 'USD', 'volume': 1, 'openInterest': 184, 'impliedVolatility': 0.585941640625, 'strike': 212.0, 'change': 0.8, 'contractSymbol': 'SPY180928P00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1527084619, 'bid': 0.25, 'ask': 0.27, 'lastPrice': 0.8, 'expiration': 1538092800, 'percentChange': 100.0}"
212.0,2018-10-19,call,SPY181019C00212000,75.47,75.79,76.12,0.0,0.0,75.0,75.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-25 03:57:41,"{'inTheMoney': True, 'currency': 'USD', 'volume': 75, 'openInterest': 75, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 212.0, 'change': 0.0, 'contractSymbol': 'SPY181019C00212000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535169461, 'bid': 75.79, 'ask': 76.12, 'lastPrice': 75.47, 'expiration': 1539907200, 'percentChange': 0.0}"
