Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
10.0,2018-09-05,call,VIX180905C00010000,3.8,0.0,0.0,0.0,0.0,84.0,77.0,1.0000000000000003e-05,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 15:58:19,"{'inTheMoney': True, 'currency': 'USD', 'volume': 84, 'openInterest': 77, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX180905C00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536076699, 'bid': 0.0, 'ask': 0.0, 'lastPrice': 3.8, 'expiration': 1536105600, 'percentChange': 0.0}"
10.0,2018-09-05,put,VIX180905P00010000,0.02,0.0,0.0,0.0,0.0,70.0,3.0,0.500005,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 14:50:41,"{'inTheMoney': False, 'currency': 'USD', 'volume': 70, 'openInterest': 3, 'impliedVolatility': 0.500005, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX180905P00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536072641, 'bid': 0.0, 'ask': 0.0, 'lastPrice': 0.02, 'expiration': 1536105600, 'percentChange': 0.0}"
10.0,2018-09-12,call,VIX180912C00010000,4.2,3.4,5.0,0.0,0.0,72.0,83.0,2.81250296875,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 15:17:36,"{'inTheMoney': True, 'currency': 'USD', 'volume': 72, 'openInterest': 83, 'impliedVolatility': 2.81250296875, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX180912C00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536074256, 'bid': 3.4, 'ask': 5.0, 'lastPrice': 4.2, 'expiration': 1536710400, 'percentChange': 0.0}"
10.0,2018-09-12,put,VIX180912P00010000,0.02,0.0,0.05,0.0,0.0,71.0,70.0,1.125004375,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 19:12:55,"{'inTheMoney': False, 'currency': 'USD', 'volume': 71, 'openInterest': 70, 'impliedVolatility': 1.125004375, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX180912P00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536088375, 'bid': 0.0, 'ask': 0.05, 'lastPrice': 0.02, 'expiration': 1536710400, 'percentChange': 0.0}"
10.0,2018-09-19,call,VIX180919C00010000,4.3,4.4,4.7,0.0,0.0,85.0,939.0,2.5273474316406244,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 18:45:05,"{'inTheMoney': True, 'currency': 'USD', 'volume': 85, 'openInterest': 939, 'impliedVolatility': 2.5273474316406244, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX180919C00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536086705, 'bid': 4.4, 'ask': 4.7, 'lastPrice': 4.3, 'expiration': 1537315200, 'percentChange': 0.0}"
10.0,2018-09-19,put,VIX180919P00010000,0.02,0.0,0.05,0.01,100.0,27.0,3601.0,0.8125018749999999,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-08-31 17:41:07,"{'inTheMoney': False, 'currency': 'USD', 'volume': 27, 'openInterest': 3601, 'impliedVolatility': 0.8125018749999999, 'strike': 10.0, 'change': 0.01, 'contractSymbol': 'VIX180919P00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535737267, 'bid': 0.0, 'ask': 0.05, 'lastPrice': 0.02, 'expiration': 1537315200, 'percentChange': 100.0}"
10.0,2018-09-26,call,VIX180926C00010000,5.0,4.0,5.7,0.0,0.0,3.0,44.0,2.4062539843749997,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 16:23:48,"{'inTheMoney': True, 'currency': 'USD', 'volume': 3, 'openInterest': 44, 'impliedVolatility': 2.4062539843749997, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX180926C00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536078228, 'bid': 4.0, 'ask': 5.7, 'lastPrice': 5.0, 'expiration': 1537920000, 'percentChange': 0.0}"
10.0,2018-09-26,put,VIX180926P00010000,0.02,0.0,0.05,0.0,0.0,1.0,66.0,0.6718782812500002,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-08-29 13:30:02,"{'inTheMoney': False, 'currency': 'USD', 'volume': 1, 'openInterest': 66, 'impliedVolatility': 0.6718782812500002, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX180926P00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535549402, 'bid': 0.0, 'ask': 0.05, 'lastPrice': 0.02, 'expiration': 1537920000, 'percentChange': 0.0}"
10.0,2018-10-17,call,VIX181017C00010000,5.7,5.3,5.6,0.0,0.0,1.0,688.0,2.162113969726563,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 13:49:48,"{'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'openInterest': 688, 'impliedVolatility': 2.162113969726563, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX181017C00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536068988, 'bid': 5.3, 'ask': 5.6, 'lastPrice': 5.7, 'expiration': 1539734400, 'percentChange': 0.0}"
10.0,2018-10-17,put,VIX181017P00010000,0.03,0.0,0.05,0.0,0.0,7.0,8405.0,0.5507857421875001,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-09-04 17:10:20,"{'inTheMoney': False, 'currency': 'USD', 'volume': 7, 'openInterest': 8405, 'impliedVolatility': 0.5507857421875001, 'strike': 10.0, 'change': 0.0, 'contractSymbol': 'VIX181017P00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1536081020, 'bid': 0.0, 'ask': 0.05, 'lastPrice': 0.03, 'expiration': 1539734400, 'percentChange': 0.0}"
10.0,2018-11-21,call,VIX181121C00010000,5.93,5.5,5.7,0.23000002,4.035088,21.0,1250.0,1.6875015625,VIX,True,^VIX,13.55,2018-09-05 13:14:51,2018-08-31 17:34:50,"{'inTheMoney': True, 'currency': 'USD', 'volume': 21, 'openInterest': 1250, 'impliedVolatility': 1.6875015625, 'strike': 10.0, 'change': 0.23000002, 'contractSymbol': 'VIX181121C00010000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535736890, 'bid': 5.5, 'ask': 5.7, 'lastPrice': 5.93, 'expiration': 1542758400, 'percentChange': 4.035088}"
